tradingtime,deliverytime,price
2025-01-11 10:00:00,2025-01-11 23:00:00,108.805
2025-01-12 10:00:00,2025-01-12 12:00:00,104.16
2025-01-12 10:00:00,2025-01-12 13:00:00,98.955
2025-01-12 10:00:00,2025-01-12 14:00:00,92.575
2025-01-12 10:00:00,2025-01-12 15:00:00,90.10499999999999
2025-01-12 10:00:00,2025-01-12 16:00:00,89.74000000000001
2025-01-12 10:00:00,2025-01-12 17:00:00,115.07
2025-01-12 10:00:00,2025-01-12 18:00:00,137.74
2025-01-12 10:00:00,2025-01-12 19:00:00,139.985
2025-01-12 10:00:00,2025-01-12 20:00:00,131.065
2025-01-12 10:00:00,2025-01-12 21:00:00,123.25999999999999
2025-01-12 10:00:00,2025-01-12 22:00:00,116.02000000000001
2025-01-12 10:00:00,2025-01-12 23:00:00,113.9
2025-01-13 10:00:00,2025-01-13 12:00:00,103.75
2025-01-13 10:00:00,2025-01-13 13:00:00,101.9
2025-01-13 10:00:00,2025-01-13 14:00:00,105.06
2025-01-13 10:00:00,2025-01-13 15:00:00,120.10499999999999
2025-01-13 10:00:00,2025-01-13 16:00:00,131.0
2025-01-13 10:00:00,2025-01-13 17:00:00,167.33
2025-01-13 10:00:00,2025-01-13 18:00:00,189.075
2025-01-13 10:00:00,2025-01-13 19:00:00,183.12
2025-01-13 10:00:00,2025-01-13 20:00:00,150.0
2025-01-13 10:00:00,2025-01-13 21:00:00,137.55
2025-01-13 10:00:00,2025-01-13 22:00:00,132.42000000000002
2025-01-13 10:00:00,2025-01-13 23:00:00,132.11
2025-01-14 10:00:00,2025-01-14 12:00:00,116.28
2025-01-14 10:00:00,2025-01-14 13:00:00,115.375
2025-01-14 10:00:00,2025-01-14 14:00:00,127.815
2025-01-14 10:00:00,2025-01-14 15:00:00,140.945
2025-01-14 10:00:00,2025-01-14 16:00:00,159.0
2025-01-14 10:00:00,2025-01-14 17:00:00,182.0
2025-01-14 10:00:00,2025-01-14 18:00:00,195.81
2025-01-14 10:00:00,2025-01-14 19:00:00,194.0
2025-01-14 10:00:00,2025-01-14 20:00:00,163.0
2025-01-14 10:00:00,2025-01-14 21:00:00,144.57
2025-01-14 10:00:00,2025-01-14 22:00:00,139.305
2025-01-14 10:00:00,2025-01-14 23:00:00,130.47
2025-01-15 10:00:00,2025-01-15 12:00:00,197.57
2025-01-15 10:00:00,2025-01-15 13:00:00,171.08999999999997
2025-01-15 10:00:00,2025-01-15 14:00:00,170.0
2025-01-15 10:00:00,2025-01-15 15:00:00,173.905
2025-01-15 10:00:00,2025-01-15 16:00:00,188.60500000000002
2025-01-15 10:00:00,2025-01-15 17:00:00,209.10000000000002
